t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,adc,F_N,tau_Nm,mode
25979.21036379,0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.214155628,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.218163051,0.0,0.0,0.0,0.0,-4,0,0.0,0.0,RETURN
25979.222160431,0.0,0.0,0.0,0.0,12,0,0.0,0.0,RETURN
25979.226149613,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.230148376,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.234148078,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.238148709,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.242147885,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.246147286,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.250171853,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.254256659,0.0,0.0,0.0,0.0,-14,0,0.0,0.0,RETURN
25979.258278228,0.0,0.0,0.0,0.0,-17,0,0.0,0.0,RETURN
25979.262152717,0.0,0.0,0.0,0.0,12,0,0.0,0.0,RETURN
25979.266153928,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.27015499,0.0,0.0,0.0,0.0,-3,0,0.0,0.0,RETURN
25979.274153645,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.278152162,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.282151664,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.286183083,0.0,0.0,0.0,0.0,13,0,0.0,0.0,RETURN
25979.290283395,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.294295322,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.298235045,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.302158634,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.306161673,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.31018083,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.314150043,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.318155555,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.322326924,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.326153098,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.33013916,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.33419102,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.338159356,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.342155374,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.34615436,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.3501531,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.354152291,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.358151437,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.362155177,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.366152131,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.370191004,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.374158607,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.378197477,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.382178216,0.0,0.0,0.0,0.0,-18,0,0.0,0.0,RETURN
25979.386152375,0.0,0.0,0.0,0.0,-14,0,0.0,0.0,RETURN
25979.390158445,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.394154535,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.398183367,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.40218329,0.0,0.0,0.0,0.0,-25,0,0.0,0.0,RETURN
25979.406133499,0.0,0.0,0.0,0.0,-19,0,0.0,0.0,RETURN
25979.410161121,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.414280763,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.418136938,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25979.422159455,0.0,0.0,0.0,0.0,-5,0,0.0,0.0,RETURN
25979.42616182,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.430161122,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.434156219,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.438157214,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.442255088,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.446261796,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.450265075,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.45426121,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.458151591,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.462160524,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.466152703,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.470154163,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.474152568,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.478256755,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.482257288,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.486267975,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.490153746,0.0,0.0,0.0,0.0,-9,0,0.0,0.0,RETURN
25979.494264831,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.49815085,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.502172671,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.506157503,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.510289369,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.514289288,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.5181937,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25979.522212729,0.0,0.0,0.0,0.0,-21,0,0.0,0.0,RETURN
25979.526196305,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.530278959,0.0,0.0,0.0,0.0,-9,0,0.0,0.0,RETURN
25979.534277791,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.538157533,0.0,0.0,0.0,0.0,8,0,0.0,0.0,RETURN
25979.54216596,0.0,0.0,0.0,0.0,9,0,0.0,0.0,RETURN
25979.546155263,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
