
t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,emg_phase,emg_raw,emg_ac,emg_rect,emg_env,emg_env_f,mode
5615.229496406,0,0.0,0.0,0.0,-12,NA,0,0,0,0.0,0.0,RELAX
5615.233291612,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.237293272,0.0,0.0,0.0,0.0,-1,NA,0,0,0,0.0,0.0,RELAX
5615.241291543,0.0,0.0,0.0,0.0,27,NA,0,0,0,0.0,0.0,RELAX
5615.24529348,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.249312804,0.0,0.0,0.0,0.0,-2,NA,0,0,0,0.0,0.0,RELAX
5615.253323881,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.257426609,0.0,0.0,0.0,0.0,-11,NA,0,0,0,0.0,0.0,RELAX
5615.261410035,0.0,0.0,0.0,0.0,-14,NA,0,0,0,0.0,0.0,RELAX
5615.265400605,0.0,0.0,0.0,0.0,5,NA,0,0,0,0.0,0.0,RELAX
5615.269402614,0.0,0.0,0.0,0.0,24,NA,0,0,0,0.0,0.0,RELAX
5615.273399541,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.277293777,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.28129992,0.0,0.0,0.0,0.0,-7,NA,0,0,0,0.0,0.0,RELAX
5615.285298451,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.289410426,0.0,0.0,0.0,0.0,-1,NA,0,0,0,0.0,0.0,RELAX
5615.293402623,0.0,0.0,0.0,0.0,-2,NA,0,0,0,0.0,0.0,RELAX
5615.297296915,0.0,0.0,0.0,0.0,6,NA,0,0,0,0.0,0.0,RELAX
5615.301418747,0.0,0.0,0.0,0.0,-7,NA,0,0,0,0.0,0.0,RELAX
5615.305392873,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.309358059,0.02197265625,1.6,0.027925268031909273,-3.26591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.31334223,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.317296293,0.0,0.0,0.0,0.0,-17,NA,0,0,0,0.0,0.0,RELAX
5615.321296173,0.0,0.0,0.0,0.0,-2,NA,0,0,0,0.0,0.0,RELAX
5615.325353551,0.0,0.0,0.0,0.0,3,NA,0,0,0,0.0,0.0,RELAX
5615.329339938,0.0,0.0,0.0,0.0,27,NA,0,0,0,0.0,0.0,RELAX
5615.333349344,0.0,0.0,0.0,0.0,-4,NA,0,0,0,0.0,0.0,RELAX
5615.337412669,0.0,0.0,0.0,0.0,-13,NA,0,0,0,0.0,0.0,RELAX
5615.341395991,0.0,0.0,0.0,0.0,-2,NA,0,0,0,0.0,0.0,RELAX
5615.345335015,0.0,0.0,0.0,0.0,-4,NA,0,0,0,0.0,0.0,RELAX
5615.349340872,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.353335208,0.0,0.0,0.0,0.0,-4,NA,0,0,0,0.0,0.0,RELAX
5615.357352673,0.0,0.0,0.0,0.0,-11,NA,0,0,0,0.0,0.0,RELAX
5615.361346168,0.0,0.0,0.0,0.0,14,NA,0,0,0,0.0,0.0,RELAX
5615.365302031,0.0,0.0,0.0,0.0,-4,NA,0,0,0,0.0,0.0,RELAX
5615.369301141,0.0,0.0,0.0,0.0,-11,NA,0,0,0,0.0,0.0,RELAX
5615.373301691,0.0,0.0,0.0,0.0,23,NA,0,0,0,0.0,0.0,RELAX
5615.377300335,0.0,0.0,0.0,0.0,32,NA,0,0,0,0.0,0.0,RELAX
5615.381300311,0.0,0.0,0.0,0.0,-7,NA,0,0,0,0.0,0.0,RELAX
5615.385300893,0.0,0.0,0.0,0.0,-12,NA,0,0,0,0.0,0.0,RELAX
5615.38930109,0.0,0.0,0.0,0.0,-12,NA,0,0,0,0.0,0.0,RELAX
5615.393329505,0.0,0.0,0.0,0.0,-8,NA,0,0,0,0.0,0.0,RELAX
5615.397298853,0.0,0.0,0.0,0.0,7,NA,0,0,0,0.0,0.0,RELAX
5615.401332596,0.0,0.0,0.0,0.0,-1,NA,0,0,0,0.0,0.0,RELAX
5615.405343464,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.409355652,0.0,0.0,0.0,0.0,-9,NA,0,0,0,0.0,0.0,RELAX
5615.413343294,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.41735156,0.0,0.0,0.0,0.0,-14,NA,0,0,0,0.0,0.0,RELAX
5615.4213351,0.0,0.0,0.0,0.0,10,NA,0,0,0,0.0,0.0,RELAX
5615.425344608,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.429302644,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.433301945,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.437299205,0.0,0.0,0.0,0.0,10,NA,0,0,0,0.0,0.0,RELAX
5615.441300376,0.0,0.0,0.0,0.0,-3,NA,0,0,0,0.0,0.0,RELAX
5615.445348337,0.0,0.0,0.0,0.0,-15,NA,0,0,0,0.0,0.0,RELAX
5615.449346389,0.0,0.0,0.0,0.0,0,NA,0,0,0,0.0,0.0,RELAX
5615.453338472,0.0,0.0,0.0,0.0,24,NA,0,0,0,0.0,0.0,RELAX
5615.457338217,0.0,0.0,0.0,0.0,-4,NA,0,0,0,0.0,0.0,RELAX
5615.461339604,0.0,0.0,0.0,0.0,-13,NA,0,0,0,0.0,0.0,RELAX
5615.465329356,0.0,0.0,0.0,0.0,-11,NA,0,0,0,0.0,0.0,RELAX
5615.469350078,0.0,0.0,0.0,0.0,11,NA,0,0,0,0.0,0.0,RELAX
5615.473347552,0.0,0.0,0.0,0.0,17,NA,0,0,0,0.0,0.0,RELAX
5615.477299981,0.0,0.0,0.0,0.0,-2,NA,0,0,0,0.0,0.0,RELAX
5615.481302357,0.0,0.0,0.0,0.0,-5,NA,0,0,0,0.0,0.0,RELAX
5615.485340738,0.0,0.0,0.0,0.0,-12,NA,0,0,0,0.0,0.0,RELAX
5615.48935191,0.0,0.0,0.0,0.0,16,NA,0,0,0,0.0,0.0,RELAX
5615.493330551,0.02197265625,1.0,0.017453292519943295,-2.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.497361643,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5615.501332533,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.505347997,0.02197265625,0.0,0.0,-0.06591796875,25,NA,0,0,0,0.0,0.0,RELAX
5615.509350654,0.0,0.0,0.0,0.0,-7,NA,0,0,0,0.0,0.0,RELAX
5615.513348438,0.0,0.0,0.0,0.0,-4,NA,0,0,0,0.0,0.0,RELAX
5615.517297156,0.0,0.0,0.0,0.0,-12,NA,0,0,0,0.0,0.0,RELAX
5615.52130047,0.0,-1.6,-0.027925268031909273,3.2,-15,NA,0,0,0,0.0,0.0,RELAX
5615.525300333,0.0,0.0,0.0,0.0,-7,NA,0,0,0,0.0,0.0,RELAX
5615.529301112,0.02197265625,1.0,0.017453292519943295,-2.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5615.533407097,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.53740471,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.541395198,0.02197265625,0.0,0.0,-0.06591796875,-14,NA,0,0,0,0.0,0.0,RELAX
5615.545409788,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.549413372,0.02197265625,0.0,0.0,-0.06591796875,8,NA,0,0,0,0.0,0.0,RELAX
5615.553421222,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5615.557420964,0.02197265625,0.0,0.0,-0.06591796875,19,NA,0,0,0,0.0,0.0,RELAX
5615.561446069,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.565409933,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.56941867,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.573406783,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.577416372,0.02197265625,0.0,0.0,-0.06591796875,14,NA,0,0,0,0.0,0.0,RELAX
5615.581412468,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5615.585420351,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5615.5894074,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.593402951,0.02197265625,0.0,0.0,-0.06591796875,-8,NA,0,0,0,0.0,0.0,RELAX
5615.597409737,0.02197265625,0.0,0.0,-0.06591796875,4,NA,0,0,0,0.0,0.0,RELAX
5615.601297107,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5615.605296898,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.609295208,0.02197265625,0.0,0.0,-0.06591796875,7,NA,0,0,0,0.0,0.0,RELAX
5615.613293811,0.02197265625,0.0,0.0,-0.06591796875,5,NA,0,0,0,0.0,0.0,RELAX
5615.617297482,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.621292646,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.625405078,0.02197265625,0.0,0.0,-0.06591796875,-15,NA,0,0,0,0.0,0.0,RELAX
5615.629296726,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.633295852,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.637302372,0.02197265625,0.0,0.0,-0.06591796875,14,NA,0,0,0,0.0,0.0,RELAX
5615.641307303,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.645297552,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.64929802,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.653296008,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.657294438,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.661325494,0.02197265625,0.0,0.0,-0.06591796875,11,NA,0,0,0,0.0,0.0,RELAX
5615.665293771,0.02197265625,0.0,0.0,-0.06591796875,14,NA,0,0,0,0.0,0.0,RELAX
5615.669293703,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.67329448,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.677398742,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5615.681430997,0.02197265625,0.0,0.0,-0.06591796875,-12,NA,0,0,0,0.0,0.0,RELAX
5615.685296962,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.689297383,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.693300684,0.02197265625,0.0,0.0,-0.06591796875,-17,NA,0,0,0,0.0,0.0,RELAX
5615.697301285,0.02197265625,0.0,0.0,-0.06591796875,-13,NA,0,0,0,0.0,0.0,RELAX
5615.701297189,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.705296624,0.02197265625,0.0,0.0,-0.06591796875,4,NA,0,0,0,0.0,0.0,RELAX
5615.709296239,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.713297318,0.02197265625,0.0,0.0,-0.06591796875,-22,NA,0,0,0,0.0,0.0,RELAX
5615.71730233,0.02197265625,0.0,0.0,-0.06591796875,-8,NA,0,0,0,0.0,0.0,RELAX
5615.721352326,0.02197265625,0.0,0.0,-0.06591796875,12,NA,0,0,0,0.0,0.0,RELAX
5615.725303722,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5615.729340499,0.02197265625,0.0,0.0,-0.06591796875,12,NA,0,0,0,0.0,0.0,RELAX
5615.733332724,0.02197265625,0.0,0.0,-0.06591796875,17,NA,0,0,0,0.0,0.0,RELAX
5615.737333461,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5615.741337513,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.745332458,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.749331524,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5615.753331275,0.02197265625,0.0,0.0,-0.06591796875,0,NA,0,0,0,0.0,0.0,RELAX
5615.757296478,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5615.761338034,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.765342361,0.02197265625,0.0,0.0,-0.06591796875,-14,NA,0,0,0,0.0,0.0,RELAX
5615.769348554,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.773340854,0.02197265625,0.0,0.0,-0.06591796875,24,NA,0,0,0,0.0,0.0,RELAX
5615.777330316,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.781296965,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
